author_id,adj,adp,adv,aux,cconj,det,intj,noun,num,part,pon,propn,punct,sconj,sym,verb,doc_id
1430,93,195,52,69,0,130,0,419,39,16,110,83,0,37,0,198,3292
1430,89,158,98,89,0,139,0,415,11,20,107,66,0,40,0,198,3292
1430,65,142,87,91,0,97,0,390,16,29,139,79,0,50,0,252,3292
1430,85,183,74,66,0,137,0,363,8,26,149,103,0,44,0,202,3292
1430,70,184,81,64,0,129,0,385,1,23,112,124,0,31,0,239,3292
1430,65,189,78,88,0,126,0,381,4,35,97,102,0,43,0,203,3292
1430,70,146,66,86,0,117,0,347,1,34,184,93,0,48,0,238,3292
1430,105,165,81,55,0,124,0,399,1,43,127,59,0,48,0,230,3292
1430,101,180,67,44,0,136,0,407,14,27,115,90,0,55,0,210,3292
1430,70,211,119,62,0,147,0,368,8,26,87,92,0,47,0,209,3292
1430,79,180,85,58,0,175,0,428,9,26,103,86,0,42,0,185,3292
1430,112,195,75,70,0,145,0,398,11,25,109,56,0,38,0,199,3292
1430,107,194,93,56,0,183,0,441,6,20,94,61,0,43,0,176,3292
1430,105,218,101,41,0,222,0,437,4,12,62,71,0,30,0,142,3292
1430,130,192,88,52,0,151,0,427,4,26,113,64,0,37,0,159,3292
1430,113,189,97,58,0,156,0,411,11,18,104,62,0,37,0,181,3292
1430,111,185,70,52,0,167,0,411,4,20,117,80,0,45,0,186,3292
1430,88,163,62,66,0,148,0,400,7,27,133,73,0,54,0,205,3292
1430,84,156,70,69,0,157,0,380,3,37,157,28,0,73,0,238,3292
1430,98,171,88,56,0,129,0,406,16,31,127,43,0,51,0,204,3292
1430,89,165,84,64,0,144,0,396,3,28,133,41,0,59,0,235,3292
1430,87,168,103,53,0,146,0,413,5,25,132,57,0,44,0,204,3292
1430,64,159,87,69,0,160,0,454,16,24,114,42,0,34,0,213,3292
1430,51,150,65,65,0,127,0,439,3,23,154,67,0,53,0,251,3292
1430,71,151,56,63,0,108,3,410,9,36,189,72,1,37,0,234,3292
1430,47,162,79,70,0,117,0,404,5,36,167,60,0,62,0,252,3292
1430,66,141,55,78,0,119,2,411,3,40,171,58,0,54,0,257,3292
1430,66,166,97,69,0,125,0,392,12,31,134,78,0,34,0,228,3292
1430,62,143,71,65,0,105,0,448,3,34,163,57,0,56,0,228,3292
1430,69,204,90,42,0,131,0,469,11,19,113,50,0,36,0,197,3292
1430,64,196,71,51,0,171,0,458,10,31,105,41,0,38,0,217,3292
1430,70,187,97,61,0,118,0,401,5,25,139,51,0,49,0,246,3292
1430,72,155,63,55,0,140,1,453,9,31,138,46,0,48,0,219,3292
1430,84,165,81,48,0,125,1,379,10,39,163,50,0,58,0,235,3292
1430,93,170,98,77,0,148,0,405,4,22,120,60,0,53,0,194,3292
1430,101,170,108,37,0,141,0,435,1,22,130,62,0,53,0,190,3292
1430,109,182,71,50,0,120,0,421,6,36,126,69,0,45,0,211,3292
1430,83,195,110,45,0,83,0,420,1,36,138,67,0,46,0,218,3292
1430,97,185,114,53,0,103,0,391,11,35,112,88,0,53,0,209,3292
1430,97,177,69,48,0,110,0,428,8,37,133,60,0,37,0,227,3292
1430,92,160,97,72,0,111,0,426,5,34,116,76,0,37,0,216,3292
1430,72,187,87,43,0,114,0,470,3,35,119,65,0,30,0,214,3292
1430,80,182,86,65,0,141,0,432,3,34,108,53,0,46,0,214,3292
